date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2026-01-08,3481,218271681,4613236609,22.0,22.0,20.55,20.75,-1.4,87830
2026-01-07,3481,358140346,7994694556,22.55,23.6,21.0,22.15,0.3,149501
2026-01-06,3481,1042548581,22209424947,20.5,21.85,20.15,21.85,1.95,271399
2026-01-05,3481,536713013,10538985373,18.8,19.9,18.8,19.9,1.8,113784
2026-01-02,3481,788088302,13790925317,16.95,18.5,16.2,18.1,1.05,183005
2025-12-31,3481,932979502,15948148192,16.7,17.75,16.5,17.05,0.75,207467
2025-12-30,3481,882082683,14057605529,15.3,16.3,14.9,16.3,1.45,147281
2025-12-29,3481,370742766,5404834436,14.1,14.85,13.95,14.85,1.35,56492
2025-12-26,3481,106335212,1412305190,13.35,13.7,12.95,13.5,0.25,20116
2025-12-24,3481,109376401,1453320208,13.45,13.5,13.15,13.25,0.2,21883
2025-12-23,3481,94214159,1209794001,12.85,13.15,12.55,13.05,0.4,16694
2025-12-22,3481,60458852,765410970,12.7,12.85,12.55,12.65,-0.05,13140
2025-12-19,3481,76907150,966120591,12.5,12.9,12.35,12.7,0.3,13726
2025-12-18,3481,42446575,530727045,12.6,12.7,12.4,12.4,-0.25,11514
2025-12-17,3481,72748102,928576305,12.95,13.0,12.65,12.65,-0.25,16625
2025-12-16,3481,51248874,667089219,13.3,13.35,12.9,12.9,-0.4,13355
2025-12-15,3481,34728672,464599349,13.2,13.55,13.2,13.3,-0.05,8118
2025-12-12,3481,50334961,676614630,13.65,13.7,13.35,13.35,-0.15,9836
2025-12-11,3481,59154681,802958955,13.95,14.0,13.45,13.5,-0.35,11435
2025-12-10,3481,53170906,738295339,14.15,14.2,13.65,13.85,-0.1,9659
2025-12-09,3481,48713397,680452150,14.15,14.2,13.8,13.95,-0.25,10056
2025-12-08,3481,54291141,775825604,14.45,14.55,14.1,14.2,-0.2,12375
2025-12-05,3481,42867712,615089222,14.3,14.4,14.2,14.4,0.05,9256
