date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-05-27,CCJ,107.5,109.17,105.81,107.44,107.44,2059500
2026-05-26,CCJ,107.39,108.96,105.38,108.17,108.17,2996900
2026-05-22,CCJ,105.66,106.38,103.68,104.75,104.75,2555500
2026-05-21,CCJ,104.44,106.9,102.46,105.33,105.33,2922100
2026-05-20,CCJ,105.09,106.15,103.3,104.02,104.02,2547800
2026-05-19,CCJ,103.5,104.79,101.95,103.52,103.52,3440400
2026-05-18,CCJ,107.38,108.6,103.43,105.14,105.14,3297800
2026-05-15,CCJ,109.56,110.0,107.25,107.51,107.51,3080300
2026-05-14,CCJ,114.99,115.18,110.12,112.51,112.51,3165700
2026-05-13,CCJ,115.77,116.75,112.02,115.39,115.39,3366200
2026-05-12,CCJ,117.5,118.45,112.35,116.93,116.93,3892500
2026-05-11,CCJ,114.23,121.54,113.2,120.14,120.14,3158200
2026-05-08,CCJ,120.26,120.44,116.05,116.75,116.75,2182400
2026-05-07,CCJ,123.42,124.0,118.03,118.71,118.71,3121500
2026-05-06,CCJ,117.6,124.57,116.5,123.76,123.76,3845600
2026-05-05,CCJ,122.21,124.72,113.3,114.46,114.46,5412100
2026-05-04,CCJ,120.5,122.35,118.09,118.26,118.26,3292300
2026-05-01,CCJ,121.9,122.39,117.9,120.6,120.6,2168700
2026-04-30,CCJ,115.76,123.14,115.76,123.04,123.04,3007700
2026-04-29,CCJ,116.54,116.92,111.86,114.29,114.29,2273800
2026-04-28,CCJ,119.97,121.79,115.48,116.31,116.31,3167600
2026-04-27,CCJ,122.0,124.81,120.3,123.11,123.11,1982700
2026-04-24,CCJ,125.4,125.6,121.91,122.15,122.15,2285300
2026-04-23,CCJ,129.14,131.21,121.75,123.85,123.85,4424200
2026-04-22,CCJ,118.91,126.6,118.1,126.47,126.47,3840000
2026-04-21,CCJ,124.0,124.5,116.45,116.61,116.61,3814800
2026-04-20,CCJ,120.12,123.69,117.68,123.62,123.62,2992700
2026-04-17,CCJ,121.02,123.69,117.61,120.66,120.66,4220500
2026-04-16,CCJ,121.09,122.75,119.59,120.27,120.27,3387100
2026-04-15,CCJ,116.43,121.34,115.2,119.11,119.11,3124300
2026-04-14,CCJ,119.5,119.5,114.74,116.06,116.06,3463800
2026-04-13,CCJ,115.0,116.71,113.56,116.7,116.7,2664900
2026-04-10,CCJ,116.82,119.15,115.9,116.04,116.04,2134500
2026-04-09,CCJ,115.2,116.61,112.83,115.54,115.54,2210500
2026-04-08,CCJ,116.0,119.8,114.95,115.9,115.9,3500600
2026-04-07,CCJ,109.57,111.1,107.77,110.23,110.23,1808400
2026-04-06,CCJ,112.31,114.36,109.33,110.48,110.48,1722100
2026-04-02,CCJ,106.75,112.74,106.01,112.57,112.57,2348600
2026-04-01,CCJ,111.5,114.46,110.74,111.13,111.13,2879900
2026-03-31,CCJ,104.78,109.23,104.05,108.61,108.61,3989500
2026-03-30,CCJ,104.54,106.29,101.28,102.84,102.84,2722000
2026-03-27,CCJ,102.77,105.68,101.38,103.92,103.92,3182800
2026-03-26,CCJ,107.52,108.6,104.3,104.67,104.67,2541300
2026-03-25,CCJ,110.31,112.13,108.7,109.02,109.02,2516800
2026-03-24,CCJ,104.42,108.28,102.89,108.04,108.04,2914500
2026-03-23,CCJ,102.5,106.69,102.0,105.57,105.57,3932300
2026-03-20,CCJ,106.37,106.88,100.11,101.55,101.55,5443200
2026-03-19,CCJ,105.0,107.4,101.82,106.6,106.6,3958100
2026-03-18,CCJ,111.2,111.5,108.82,109.4,109.4,2682200
2026-03-17,CCJ,110.23,114.05,109.72,111.52,111.52,2562600
2026-03-16,CCJ,108.67,111.98,107.71,110.31,110.31,3507200
2026-03-13,CCJ,115.75,116.41,105.0,107.92,107.92,6618900
2026-03-12,CCJ,116.23,116.81,110.81,115.3,115.3,4007700
2026-03-11,CCJ,119.18,120.05,114.31,115.39,115.39,3474300
2026-03-10,CCJ,116.5,122.3,116.5,120.08,120.08,5357000
2026-03-09,CCJ,107.18,116.41,106.44,116.14,116.14,3306800
2026-03-06,CCJ,111.4,114.6,108.66,109.68,109.68,4112200
2026-03-05,CCJ,118.05,119.23,111.05,114.24,114.24,3892200
2026-03-04,CCJ,119.51,121.23,114.81,120.24,120.24,2855100
2026-03-03,CCJ,118.0,119.53,112.58,117.79,117.79,5520600
2026-03-02,CCJ,118.84,126.13,116.87,125.74,125.74,4348700
2026-02-27,CCJ,116.2,119.17,116.0,118.4,118.4,2115900
2026-02-26,CCJ,118.39,119.38,114.57,118.18,118.18,3628700
2026-02-25,CCJ,122.55,124.3,119.45,119.72,119.72,3431500
2026-02-24,CCJ,118.74,122.25,115.4,121.08,121.08,3468100
2026-02-23,CCJ,122.0,122.74,117.23,118.75,118.75,2771300
2026-02-20,CCJ,118.89,123.32,117.9,121.35,121.35,4784600
2026-02-19,CCJ,115.53,119.78,114.27,119.03,119.03,2938300
2026-02-18,CCJ,114.5,118.22,113.7,116.5,116.5,2693800
2026-02-17,CCJ,110.75,114.29,107.92,112.94,112.94,3724300
2026-02-13,CCJ,113.25,115.17,109.8,112.9,112.9,5975200
2026-02-12,CCJ,119.0,120.53,115.6,116.39,116.39,3956800
2026-02-11,CCJ,121.58,121.76,115.0,119.18,119.18,3330600
2026-02-10,CCJ,120.28,120.98,117.56,118.09,118.09,3481800
2026-02-09,CCJ,114.27,120.84,114.22,120.68,120.68,3616600
2026-02-06,CCJ,112.34,114.07,110.82,113.63,113.63,4496700
2026-02-05,CCJ,111.0,114.77,109.0,109.28,109.28,5927000
2026-02-04,CCJ,125.29,125.6,110.19,114.82,114.82,9143000
2026-02-03,CCJ,125.53,128.15,122.55,126.15,126.15,5320400
2026-02-02,CCJ,122.19,126.11,119.3,120.21,120.21,5398600
2026-01-30,CCJ,128.5,130.23,121.54,123.39,123.39,7236800
2026-01-29,CCJ,135.24,135.24,126.0,133.67,133.67,7212400
2026-01-28,CCJ,128.01,134.13,126.56,134.09,134.09,6208100
2026-01-27,CCJ,122.13,127.14,120.4,125.97,125.97,4367000
2026-01-26,CCJ,126.88,128.4,120.29,121.26,121.26,4825700
2026-01-23,CCJ,122.91,124.11,120.61,124.04,124.04,3401500
2026-01-22,CCJ,124.73,126.47,120.51,121.87,121.87,4021600
2026-01-21,CCJ,119.65,122.42,117.15,122.33,122.33,5503300
2026-01-20,CCJ,115.27,118.29,114.52,115.8,115.8,4188700
2026-01-16,CCJ,114.57,118.54,113.3,116.44,116.44,5628700
2026-01-15,CCJ,111.05,114.39,109.8,112.84,112.84,3813000
2026-01-14,CCJ,108.96,111.86,106.87,110.79,110.79,3400900
2026-01-13,CCJ,111.11,111.47,108.38,108.92,108.92,3802900
2026-01-12,CCJ,108.5,111.12,107.08,109.79,109.79,3814000
2026-01-09,CCJ,109.58,114.45,106.12,107.56,107.56,6850000
2026-01-08,CCJ,104.47,106.22,102.83,105.76,105.76,4966600
2026-01-07,CCJ,102.3,104.15,101.0,103.94,103.94,3965500
2026-01-06,CCJ,101.15,102.81,99.16,102.09,102.09,3797900
2026-01-05,CCJ,100.17,100.89,96.43,100.17,100.17,4887200
2026-01-02,CCJ,93.0,99.08,92.82,98.56,98.56,4768200
2025-12-31,CCJ,91.13,92.7,90.89,91.49,91.49,1598200
2025-12-30,CCJ,93.3,93.64,91.23,91.37,91.37,2140700
2025-12-29,CCJ,91.67,95.67,91.61,92.84,92.84,2005500
2025-12-26,CCJ,93.92,94.3,92.5,92.84,92.84,1322600
2025-12-24,CCJ,93.08,94.28,92.65,93.34,93.34,1151200
2025-12-23,CCJ,91.71,95.1,91.71,93.41,93.41,2167300
2025-12-22,CCJ,91.99,94.88,90.92,91.71,91.71,3302600
2025-12-19,CCJ,88.26,91.68,87.94,89.99,89.99,6289400
2025-12-18,CCJ,86.46,88.45,86.13,87.58,87.58,2785800
2025-12-17,CCJ,88.21,88.24,84.29,84.85,84.85,3535000
2025-12-16,CCJ,88.96,89.94,86.74,87.05,87.05,3986400
2025-12-15,CCJ,92.42,93.49,89.44,89.78,89.78,3856800
2025-12-12,CCJ,95.15,95.98,88.79,91.49,91.49,5592300
2025-12-11,CCJ,93.19,96.57,92.26,95.74,95.74,3263100
2025-12-10,CCJ,93.02,93.84,89.01,93.76,93.76,3792500
2025-12-09,CCJ,90.0,93.88,89.76,93.36,93.36,3192800
2025-12-08,CCJ,91.66,92.69,90.66,90.9,90.9,2608300
2025-12-05,CCJ,95.0,95.0,90.66,91.27,91.27,4654500
2025-12-04,CCJ,89.28,94.53,89.28,94.09,94.09,4185000
2025-12-03,CCJ,88.1,90.04,86.4,89.45,89.45,1890600
2025-12-02,CCJ,88.1,90.39,87.62,88.23,88.23,2540300
2025-12-01,CCJ,87.14,88.69,86.38,87.53,87.53,2507800
2025-11-28,CCJ,89.0,89.31,88.03,88.51,88.34,1747800
2025-11-26,CCJ,88.81,89.66,87.7,88.81,88.64,2924800
2025-11-25,CCJ,84.0,87.67,82.43,87.35,87.18,5827200
2025-11-24,CCJ,79.69,83.48,79.16,83.34,83.18,3923100
2025-11-21,CCJ,81.8,82.0,77.7,79.44,79.29,7150000
2025-11-20,CCJ,87.55,89.87,81.71,81.98,81.82,6292900
2025-11-19,CCJ,84.2,88.06,83.6,86.24,86.07,6242200
2025-11-18,CCJ,81.82,84.27,81.3,83.3,83.14,5055800
2025-11-17,CCJ,83.83,84.92,81.88,83.03,82.87,3938400
2025-11-14,CCJ,83.38,86.36,82.2,84.76,84.6,4893300
2025-11-13,CCJ,91.87,92.28,85.69,85.98,85.81,4771900
2025-11-12,CCJ,93.03,94.02,90.72,92.57,92.39,2737000
2025-11-11,CCJ,92.94,93.43,90.59,92.52,92.34,3301000
2025-11-10,CCJ,96.24,96.96,93.5,94.24,94.06,4873400
2025-11-07,CCJ,88.2,92.53,86.41,92.26,92.08,6592300
2025-11-06,CCJ,94.35,94.67,89.42,90.24,90.06,7109500
2025-11-05,CCJ,95.0,97.9,93.0,95.24,95.05,4928500
2025-11-04,CCJ,97.32,98.71,95.55,96.95,96.76,5005700
2025-11-03,CCJ,103.28,103.65,100.37,100.85,100.65,4805300
2025-10-31,CCJ,105.97,106.74,100.75,102.21,102.01,5691000
2025-10-30,CCJ,105.82,107.2,103.67,104.72,104.52,4575200
2025-10-29,CCJ,104.16,109.66,104.11,106.67,106.46,8371100
2025-10-28,CCJ,100.53,110.16,98.0,106.91,106.7,24708000
2025-10-27,CCJ,87.6,88.98,84.29,86.62,86.45,4116100
2025-10-24,CCJ,87.0,89.19,86.27,88.13,87.96,4036700
2025-10-23,CCJ,84.78,87.08,83.59,86.3,86.13,4536300
2025-10-22,CCJ,82.29,84.64,80.75,83.54,83.38,5320100
2025-10-21,CCJ,84.3,84.32,80.53,82.77,82.61,5869500
