date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2025-07-28,LEU,246.0,246.12,227.57,239.4,239.4,821700
2025-07-25,LEU,245.0,246.0,239.0,241.0,241.0,747700
2025-07-24,LEU,235.0,246.59,232.73,242.33,242.33,1084100
2025-07-23,LEU,221.5,233.9,218.0,229.51,229.51,1454100
2025-07-22,LEU,219.45,225.24,208.0,215.83,215.83,1350200
2025-07-21,LEU,249.66,250.88,222.22,224.0,224.0,1929000
2025-07-18,LEU,239.0,249.42,234.95,249.34,249.34,1219600
2025-07-17,LEU,228.3,235.82,225.4,233.89,233.89,1052000
2025-07-16,LEU,216.0,229.49,210.28,227.26,227.26,1217900
2025-07-15,LEU,219.34,221.0,208.0,215.26,215.26,1119800
2025-07-14,LEU,204.0,217.0,199.23,216.27,216.27,1015000
2025-07-11,LEU,192.5,206.96,192.0,206.4,206.4,1244900
2025-07-10,LEU,182.91,197.98,178.0,197.46,197.46,1517200
2025-07-09,LEU,180.15,180.15,172.06,179.37,179.37,476000
2025-07-08,LEU,185.5,188.5,171.14,173.85,173.85,1087300
2025-07-07,LEU,174.0,186.23,167.26,183.65,183.65,1050600
2025-07-03,LEU,174.59,177.42,170.95,175.65,175.65,462100
2025-07-02,LEU,167.89,176.8,164.91,176.46,176.46,853800
2025-07-01,LEU,173.17,176.84,166.8,168.71,168.71,1055300
2025-06-30,LEU,168.95,184.43,163.31,183.18,183.18,1367000
2025-06-27,LEU,177.31,178.66,161.74,168.65,168.65,1712900
2025-06-26,LEU,163.46,184.0,151.0,174.96,174.96,2570300
2025-06-25,LEU,195.7,195.7,177.0,181.18,181.18,1639700
2025-06-24,LEU,198.1,203.46,184.88,192.18,192.18,1965400
2025-06-23,LEU,198.76,204.95,183.61,192.25,192.25,1892000
2025-06-20,LEU,193.19,211.31,188.48,190.04,190.04,2947300
2025-06-18,LEU,176.0,182.39,174.63,180.96,180.96,1101300
2025-06-17,LEU,175.0,176.47,168.58,173.03,173.03,1129400
2025-06-16,LEU,172.6,176.62,166.5,169.93,169.93,1303600
2025-06-13,LEU,153.95,165.25,152.16,162.24,162.24,1045600
2025-06-12,LEU,155.96,160.56,154.05,158.44,158.44,692000
2025-06-11,LEU,147.12,165.0,147.12,158.13,158.13,2092600
2025-06-10,LEU,147.59,149.39,140.65,145.92,145.92,970100
2025-06-09,LEU,149.34,152.72,144.15,146.08,146.08,1263500
2025-06-06,LEU,136.98,143.65,133.0,143.11,143.11,995700
2025-06-05,LEU,144.38,146.83,130.81,136.34,136.34,1869400
2025-06-04,LEU,133.99,142.69,128.18,141.0,141.0,1903200
2025-06-03,LEU,135.47,139.0,130.21,131.45,131.45,1905100
2025-06-02,LEU,125.04,127.99,123.26,124.58,124.58,771700
2025-05-30,LEU,118.0,128.69,117.64,126.92,126.92,1169300
2025-05-29,LEU,129.6,130.0,122.39,123.5,123.5,1252100
2025-05-28,LEU,130.55,136.0,126.5,127.74,127.74,2487700
2025-05-27,LEU,115.81,129.12,115.81,127.86,127.86,3199400
2025-05-23,LEU,111.75,118.27,100.5,113.29,113.29,4260200
2025-05-22,LEU,92.91,94.76,90.83,93.17,93.17,576700
2025-05-21,LEU,93.7,98.71,92.84,93.34,93.34,839300
2025-05-20,LEU,96.48,97.0,92.99,95.09,95.09,357100
2025-05-19,LEU,93.36,95.54,90.25,95.2,95.2,466800
2025-05-16,LEU,96.39,97.49,94.0,95.75,95.75,566100
2025-05-15,LEU,95.16,96.53,91.63,96.31,96.31,626700
2025-05-14,LEU,94.07,98.68,92.78,96.92,96.92,2138100
2025-05-13,LEU,94.91,97.5,92.14,92.57,92.57,769300
2025-05-12,LEU,99.85,101.53,92.1,94.71,94.71,1046000
2025-05-09,LEU,90.84,94.06,88.47,93.6,93.6,1266600
2025-05-08,LEU,80.75,89.9,80.45,88.46,88.46,1899800
2025-05-07,LEU,76.0,76.0,71.53,72.5,72.5,693400
2025-05-06,LEU,70.43,75.56,70.43,74.46,74.46,474600
2025-05-05,LEU,73.39,73.87,71.0,71.66,71.66,330700
2025-05-02,LEU,72.43,74.53,72.0,73.42,73.42,341700
2025-05-01,LEU,70.88,72.05,69.5,71.09,71.09,324000
2025-04-30,LEU,67.69,69.84,66.38,69.29,69.29,300800
2025-04-29,LEU,70.0,71.25,68.49,70.96,70.96,226400
2025-04-28,LEU,72.0,72.53,67.7,70.37,70.37,277000
2025-04-25,LEU,67.4,70.66,67.27,69.56,69.56,232700
2025-04-24,LEU,67.37,69.58,67.37,68.75,68.75,388600
2025-04-23,LEU,67.61,68.88,65.93,67.27,67.27,413900
2025-04-22,LEU,64.01,65.79,63.0,65.23,65.23,300500
2025-04-21,LEU,67.13,67.13,60.52,62.63,62.63,564600
2025-04-17,LEU,65.47,68.23,65.47,67.26,67.26,441000
2025-04-16,LEU,62.3,68.38,62.1,65.15,65.15,634500
2025-04-15,LEU,64.39,66.14,62.17,63.66,63.66,378000
2025-04-14,LEU,67.18,67.18,61.41,64.87,64.87,613300
2025-04-11,LEU,60.46,64.7,59.86,64.34,64.34,522100
2025-04-10,LEU,62.34,63.13,58.81,60.38,60.38,617900
2025-04-09,LEU,55.21,65.42,53.79,64.35,64.35,1298700
2025-04-08,LEU,63.66,64.3,53.75,55.45,55.45,687400
2025-04-07,LEU,50.75,63.4,50.0,58.56,58.56,1327900
2025-04-04,LEU,54.8,56.0,49.4,54.43,54.43,1243600
2025-04-03,LEU,60.1,62.0,57.22,57.71,57.71,862900
2025-04-02,LEU,62.71,65.77,62.22,63.01,63.01,728600
2025-04-01,LEU,64.66,68.19,60.65,64.91,64.91,888600
2025-03-31,LEU,63.78,63.9,61.01,62.21,62.21,980400
2025-03-28,LEU,68.5,69.76,65.58,66.25,66.25,366800
2025-03-27,LEU,69.47,70.63,67.31,69.1,69.1,411000
2025-03-26,LEU,74.23,74.36,69.18,69.99,69.99,473700
2025-03-25,LEU,76.07,77.24,72.76,73.73,73.73,490400
2025-03-24,LEU,76.45,77.7,75.2,76.87,76.87,514400
2025-03-21,LEU,73.16,74.57,71.88,74.02,74.02,667300
2025-03-20,LEU,74.37,78.56,74.07,74.28,74.28,635900
2025-03-19,LEU,73.56,77.58,72.79,75.97,75.97,555300
2025-03-18,LEU,75.9,76.71,72.35,73.1,73.1,402900
2025-03-17,LEU,76.75,80.12,74.2,76.05,76.05,488900
2025-03-14,LEU,75.05,77.6,73.65,76.38,76.38,478900
2025-03-13,LEU,74.08,75.2,70.99,71.96,71.96,323800
2025-03-12,LEU,77.0,78.6,73.1,74.24,74.24,596600
2025-03-11,LEU,73.0,77.34,72.11,73.96,73.96,600300
2025-03-10,LEU,76.88,77.5,71.63,74.01,74.01,749600
2025-03-07,LEU,79.34,81.5,75.92,79.81,79.81,570200
2025-03-06,LEU,81.5,82.76,78.05,79.72,79.72,632500
2025-03-05,LEU,90.34,90.34,81.41,84.56,84.56,929000
2025-03-04,LEU,80.66,90.47,79.61,88.8,88.8,939800
2025-03-03,LEU,92.66,93.33,82.62,84.0,84.0,912700
